083300,3805.01,7.183,27330.956671
083400,3804.94,4.773,18156.73566
083500,3806,19.0522,72493.803587
083600,3809,50.7862,193430.80249
083700,3810,34.1743,130217.768525
083800,3813,30.2175,115226.005209
083900,3815,30.832,117631.954102
084000,3816.98,97.0702,370522.263526
084100,3814,55.8536,213206.424463
084200,3814.96,60.4219,230408.389386
084300,3812.98,59.7207,227718.179707
084400,3810,16.0333,61090.161341
084500,3810.03,11.8945,45318.219963
084600,3810,26.8796,102414.622852
084700,3811,23.8791,91023.490082
084800,3810,17.3794,66217.526448
084900,3809,1.9697,7502.711274
085000,3813,19.5182,74381.691304
085100,3813.95,10.1459,38687.30148
085200,3815,30.2596,115432.982911
085300,3815.02,44.9029,171373.678837
085400,3815.02,23.3784,89188.857926
085500,3818,12.9111,49285.162765
085600,3817,35.1126,134037.842801
085700,3818.05,16.3329,62353.379729
085800,3818.98,27.473,104916.948021
085900,3819.99,39.2469,149884.11547
090000,3820.88,153.894,587900.690507
090100,3820.89,9.6961,37047.762878
090200,3820.9,57.0767,218086.282767
090300,3821,59.1136,225888.346236
090400,3820,62.0909,237244.975961
090500,3821,21.7492,83088.9553
090600,3822,29.871,114142.445262
090700,3823,17.4052,66536.684715
090800,3823,33.7347,128967.928633
090900,3822,16.1505,61741.277179
091000,3823.42,10.3104,39413.773114
091100,3825,37.7114,144235.468478
091200,3829.13,41.2742,157957.532168
091300,3831,74.8592,286698.652094
091400,3835,171.7131,658202.320531
091500,3838.22,91.7781,352034.245481
091600,3838,147.1501,564691.834582
091700,3841.98,206.3216,792528.647057
091800,3843.2,124.6408,479205.510873
091900,3845.2,295.5667,1137078.900957
092000,3845.5,211.1765,812762.551615
092100,3848,38.6092,148556.963705
092200,3847.98,144.4538,555918.60436
092300,3845,58.9465,226593.450113
092400,3844.98,114.799,441281.14813
092500,3845,77.9961,299927.065257
092600,3847,85.1245,327393.564801
092700,3845,134.6073,517488.731774
092800,3844.99,39.6255,152301.250106
092900,3840.01,181.9212,699133.648847
093000,3837,117.038,449367.065909
093100,3839,75.3292,288827.663129
093200,3835.11,6.9643,26717.791083
093300,3837.02,48.9538,187769.290784
093400,3838.02,63.8875,245210.332615
093500,3840,20.3133,77986.910896
093600,3844,76.172,292623.655561
093700,3842.04,114.6624,440706.451624
093800,3846,75.308,289588.385679
093900,3848.9,88.5179,340664.370812
094000,3850,370.9426,1427937.895827
094100,3856,177.5874,683969.702639
